ID,Compound,SMILES,IC50_uM,SD_uM,pIC50,Reference
1,K1,O=C(C(C(C)(C)C=C)=C1)OC2=C1C=C(C[C@@H](C(C)(O)C)O3)C3=C2C/C=C(C)/C,0.52,0.05,6.284,R1
2,K2,O=C(C(C(C)(C)C=C)=C1)OC2=C1C=C(C[C@@H](O)C(C)(O)C)C(O)=C2,2.58,0.1,5.5884,R1
3,K3,O=C(C(C(C)(C)C=C)=C1)OC2=C1C=C([C@H](O)[C@@H](C(C)(O)C)O3)C3=C2,1.06,0.07,5.9747,R1
4,K4,O=C(C=C1)OC2=C1C=C(C/C=C(C)/C)C(O)=C2C/C=C(C)\C,5.49,0.13,5.2604,R1
5,K5,O=C(C=C1)OC2=C1C=C(C[C@@H](OC)C(C)(O)C)C(OC)=C2,7.39,0.16,5.1314,R1
6,K6,O=C(C=C1)OC2=C1C=C(CC(C(C)(O)C)=O)C(O)=C2,6.68,0.09,5.1752,R1
7,K7,O=C(C=C1)OC2=C1C=C(C[C@@H](C(C)=C)O3)C3=C2,2.12,0.07,5.6737,R1
8,K8,O=C(C=C1)OC2=C1C=C(C[C@@H](C(CO)=C)O3)C3=C2,1.89,0.1,5.7235,R1
9,K9,O=C(C=C1)OC2=C1C(O)=C(C[C@@H](C(C)=C)O3)C3=C2,1.59,0.08,5.7986,R1
10,K10,O=C(C(O)=C1)OC2=C1C=C(C=CC(C)(C)O3)C3=C2,4.93,0.11,5.3072,R1
11,K11,O=C(C(OC)=C1)OC2=C1C=C(C=CC(C)(C)O3)C3=C2,10.39,0.15,4.9834,R1
12,K12,O=C(C=C1)OC2=C1C=C([C@@H](O)[C@H](O)C(C)(C)O3)C3=C2,6.45,0.12,5.1904,R1
13,K13,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=C(F)C=CC=C4Cl)C5=C1C=CC=C5,90.1,4.6,4.0453,R2
14,K14,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=CC=C(OCC5=CC=CC=C5)C=C4)C6=C1C=CC=C6,140.1,1.7,3.8536,R2
15,K15,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=CC=C(OCC5=CC=CC=C5)C(OC)=C4)C6=C1C=CC=C6,66,4.6,4.1805,R2
16,K16,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=CC=C(C(C)C)C=C4)C5=C1C=CC=C5,58.1,4.3,4.2358,R2
17,K17,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=CC=C(Cl)C([N+]([O-])=O)=C4)C5=C1C=CC=C5,4.2,0.3,5.3768,R2
18,K18,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=C(C=C(OC)C(OC)=C5)C5=CC(OC)=C4OC)C6=C1C=CC=C6,70.2,5.1,4.1537,R2
19,K19,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=CC(Cl)=CC=C4)C5=C1C=CC=C5,40.6,0.3,4.3915,R2
20,K20,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=C(O)C=CC=C4)C5=C1C=CC=C5,176.2,15.3,3.754,R2
21,K21,O=C(O1)C2=C(OC(C(C3=C(O)C=CC=C3)=O)=C2C4=CC=C(OC)C=C4)C5=C1C=CC=C5,77.8,3.6,4.109,R2
22,K22,O=C1OC2=C(O)C3=C(C=CO3)C(CCC(C)(O)C)=C2C=C1,91.9,1.4,4.0367,R3
23,K23,O=C1OC2=C(OC)C3=C(C=CO3)C(OC[C@H](O)C(C)(OCC)C)=C2C=C1,73.4,1,4.1343,R3
24,K24,O=C(C1)C=CC2=C1C(OC[C@H](O)C(OCCCCCCCCCCCC)(C)C)=C(OC=C3)C3=C2,19.7,1,4.7055,R3
25,K25,O=C(O1)C=CC2=C1C=C(OC=C3)C3=C2OC[C@@H](O)C(OCCCCCCCCCCCC)(C)C,13.9,1.3,4.857,R3
26,K26,O=C(O1)C=CC2=C1C(OC)=C(OC=C3)C3=C2OC[C@@H](O)C(OCCCCCCCCCCCC)(C)C,25.9,1.8,4.5867,R3
27,K27,O=C(C=C1)OC2=C1C=CC3=C2C=CC(COC(CC(C)C)=O)=C3,39,4.3,4.4089,R4
28,K28,CC(C)C(CC1=C(O[C@@]2(O[C@H](CC3=C(OC)C=CC(C=C4)=C3OC4=O)C(C)(C)O2)C=C5)C5=CC=C1OC)=O,36.8,3.4,4.4342,R4
29,K29,O=C1OC2=C(C[C@@H](OC(CC)=O)C(C)(O)C)C(OC)=CC=C2C=C1,65,8,4.1871,R4
30,K30,O=C1OC2=C(C/C=C(C)/C)C(OC)=C(OC)C(OC)=C2C=C1,32.7,3,4.4855,R4
31,K31,O=C1OC2=C([C@@H](C(C)=C)COC(/C=C(C)/C)=O)C(OC)=CC=C2C=C1,38.1,3,4.4191,R4
32,K32,O=C1OC2=C(C(/C(OC([C@@H](C)CC)=O)=C(C)\C)=O)C(OC)=CC=C2C=C1,42.3,3.4,4.3737,R4
33,K33,O=C1OC2=C(C(/C(OC(CC(C)C)=O)=C(C)\C)=O)C(OC)=CC=C2C=C1,28.6,0.9,4.5436,R4
34,K34,O=C1OC2=C([C@@H](C(C(C)C)=O)OC(/C=C(C)\C)=O)C(OC)=CC=C2C=C1,47.5,2.7,4.3233,R4
